iter	Passed	Remaining
796	2753	701
797	2756	697
798	2758	693
799	2764	691
800	2766	687
801	2784	687
802	2789	684
803	2800	682
804	2807	680
805	2815	677
806	2818	674
807	2823	670
808	2830	668
809	2835	665
810	2838	661
811	2845	658
812	2849	655
813	2853	652
814	2858	648
815	2862	645
816	2865	641
817	2869	638
818	2872	634
819	2878	631
820	2882	628
821	2886	625
822	2890	621
823	2894	618
824	2898	614
825	2901	611
826	2907	608
827	2911	604
828	2915	601
829	2920	598
830	2925	594
831	2928	591
832	2932	587
833	2937	584
834	2943	581
835	2946	578
836	2950	574
837	2954	571
838	2959	567
839	2963	564
840	2966	560
841	2971	557
842	2975	554
843	2978	550
844	2982	547
845	2987	543
846	2992	540
847	2996	537
848	3000	533
849	3005	530
850	3011	527
851	3015	523
852	3021	520
853	3025	517
854	3029	513
855	3033	510
856	3038	507
857	3042	503
858	3047	500
859	3052	496
860	3056	493
861	3059	489
862	3063	486
863	3070	483
864	3077	480
865	3083	477
866	3087	473
867	3091	470
868	3096	466
869	3103	463
870	3108	460
871	3114	457
872	3121	454
873	3125	450
874	3128	446
875	3134	443
876	3138	440
877	3142	436
878	3146	433
879	3153	429
880	3156	426
881	3159	422
882	3163	419
883	3171	416
884	3177	412
885	3185	409
886	3191	406
887	3195	403
888	3199	399
889	3202	395
890	3205	392
891	3208	388
892	3212	384
893	3217	381
894	3220	377
895	3224	374
896	3238	371
897	3247	368
898	3250	365
899	3252	361
900	3255	357
901	3258	353
902	3261	350
903	3264	346
904	3267	342
905	3269	339
906	3272	335
907	3275	331
908	3277	328
909	3280	324
910	3283	320
911	3286	317
912	3289	313
913	3292	309
914	3295	306
915	3298	302
916	3300	298
917	3303	295
918	3306	291
919	3309	287
920	3311	284
921	3314	280
922	3316	276
923	3319	273
924	3322	269
925	3324	265
926	3327	262
927	3330	258
928	3333	254
929	3336	251
930	3339	247
931	3342	243
932	3345	240
933	3348	236
934	3351	232
935	3354	229
936	3357	225
937	3377	223
938	3380	219
939	3385	216
940	3388	212
941	3391	208
942	3395	205
943	3398	201
944	3402	198
945	3405	194
946	3408	190
947	3412	187
948	3414	183
949	3417	179
950	3420	176
951	3423	172
952	3426	168
953	3428	165
954	3431	161
955	3434	158
956	3436	154
957	3440	150
958	3442	147
959	3445	143
960	3448	139
961	3451	136
962	3454	132
963	3457	129
964	3461	125
965	3464	121
966	3467	118
967	3470	114
968	3473	111
969	3476	107
970	3479	103
971	3481	100
972	3489	96
973	3492	93
974	3494	89
975	3497	86
976	3502	82
977	3505	78
978	3508	75
979	3511	71
980	3514	68
981	3518	64
982	3520	60
983	3523	57
984	3525	53
985	3528	50
986	3535	46
987	3538	42
988	3540	39
989	3542	35
990	3545	32
991	3548	28
992	3551	25
993	3555	21
994	3557	17
995	3560	14
996	3564	10
997	3567	7
998	3570	3
999	3572	0
